Class,Precision,Recall,F1 Score,Aspect Accuracy
Negative,0.6449704142011834,0.7676056338028169,0.7009646302250803,0.6215596330275229
Neutral,0.5604395604395604,0.68,0.6144578313253013,0.6215596330275229
Positive,0.7058823529411765,0.4166666666666667,0.5240174672489083,0.6215596330275229
