Sentiment Class,Precision,Recall,F1 Score,Overall Accuracy
Negative,0.7348269994327851,0.8127352572145545,0.7718200774501043,0.7689795918367347
Neutral,0.8137824235385211,0.6410491003354681,0.7171613783691574,0.7689795918367347
Positive,0.7702519642373341,0.8529852985298529,0.809510250569476,0.7689795918367347
