Class,Precision,Recall,F1 Score,Aspect Accuracy
Negative,0.6568047337278107,0.7816901408450704,0.7138263665594854,0.6238532110091743
Neutral,0.5691489361702128,0.7133333333333334,0.6331360946745563,0.6238532110091743
Positive,0.6835443037974683,0.375,0.4843049327354259,0.6238532110091743
