Class,Precision,Recall,F1 Score,Aspect Accuracy
Negative,0.7465753424657534,0.7676056338028169,0.7569444444444444,0.6399082568807339
Neutral,0.5416666666666666,0.78,0.6393442622950819,0.6399082568807339
Positive,0.7162162162162162,0.3680555555555556,0.4862385321100917,0.6399082568807339
