Class,Precision,Recall,F1 Score,Aspect Accuracy
Negative,0.7387548406315162,0.814182534471438,0.7746368889583009,0.775736864587783
Neutral,0.8329853862212944,0.6375838926174496,0.7223026792179581,0.775736864587783
Positive,0.7721483942414175,0.8745688303543431,0.8201735038964859,0.775736864587783
