Sentiment Class,Precision,Recall,F1 Score,Overall Accuracy
Negative,0.7332589285714286,0.8243412797992472,0.7761370348493799,0.7692857142857142
Neutral,0.8091014269186271,0.6398292162244587,0.7145776566757494,0.7692857142857142
Positive,0.7764283742754623,0.843984398439844,0.8087981598619896,0.7692857142857142
