Sentiment Class,Precision,Recall,F1 Score,Overall Accuracy
Negative,0.4648257725180802,0.44353826850690087,0.4539325842696629,0.5183673469387755
Neutral,0.4577259475218659,0.5266849649283318,0.4897901304594442,0.5183673469387755
Positive,0.6495812395309882,0.5817581758175817,0.6138018360240581,0.5183673469387755
