Class,Precision,Recall,F1 Score,Aspect Accuracy
Negative,0.46304572017875556,0.4422193040052528,0.45239294710327455,0.5196497223408799
Neutral,0.45703014933784164,0.5183764781080218,0.48577418388739146,0.5196497223408799
Positive,0.6527873365450791,0.594857322044528,0.6224774405250205,0.5196497223408799
