Class,Precision,Recall,F1 Score,Aspect Accuracy
Negative,0.7749523204068659,0.8003939592908733,0.7874677002583979,0.7918624519436138
Neutral,0.8135343876425156,0.7069351230425056,0.7564979480164158,0.7918624519436138
Positive,0.7902257787939412,0.8670429601756037,0.826854066985646,0.7918624519436138
