Sentiment Class,Precision,Recall,F1 Score,Overall Accuracy
Negative,0.7736938031591738,0.7989335006273526,0.7861111111111111,0.7851020408163265
Neutral,0.793526405451448,0.7102775236352546,0.7495976826520759,0.7851020408163265
Positive,0.7886929750909599,0.8454845484548454,0.8161019403417318,0.7851020408163265
