Class,Precision,Recall,F1 Score,Aspect Accuracy
Negative,0.5037593984962406,0.47183098591549294,0.4872727272727273,0.4908256880733945
Neutral,0.46875,0.7,0.5614973262032086,0.4908256880733945
Positive,0.5316455696202531,0.2916666666666667,0.37668161434977576,0.4908256880733945
